InteractionID,UserID,SessionID,ProductID,TimeSpentSeconds,EngagementScore,ActionTaken,NextProductID
I00001,U1310,S0001,ms-2,264.9,0.9131,Next Product,ms-6
I00002,U1509,S0001,ms-2,245.91,0.65,Exit,N/A
I00003,U0179,S0001,ec-4,92.98,0.943,Share,N/A
I00004,U0448,S0001,ms-4,147.38,0.973,Share,N/A
I00005,U0408,S0001,ec-6,201.22,0.6043,Rewatch,N/A
I00006,U0452,S0001,ec-2,86.1,0.936,Share,N/A
I00007,U0014,S0001,ms-3,229.68,0.4,Rewatch,N/A
I00008,U0319,S0001,ms-4,10.0,0.3157,Rewatch,N/A
I00009,U0690,S0001,ms-2,20.72,0.1129,Exit,N/A
I00010,U0199,S0002,ms-6,191.87,0.4,Rewatch,N/A
I00011,U1653,S0002,ms-1,194.82,0.6098,Rewatch,N/A
I00012,U1993,S0002,ec-1,300.0,0.9397,Next Product,ec-2
I00013,U1814,S0002,ms-6,103.67,0.9345,Share,N/A
I00014,U0094,S0002,ec-5,19.0,0.1974,Exit,N/A
I00015,U0593,S0002,ms-2,58.73,0.3047,Exit,N/A
I00016,U1775,S0002,ms-2,24.87,0.0971,Exit,N/A
I00017,U0929,S0002,ec-5,252.9,0.4279,Rewatch,N/A
I00018,U0728,S0002,ms-4,228.35,0.4,Rewatch,N/A
I00019,U1400,S0002,ec-5,210.15,0.9298,Next Product,ec-1
I00020,U0502,S0003,ms-3,122.15,0.9551,Share,N/A
I00021,U1896,S0003,ec-5,23.84,0.1349,Exit,N/A
I00022,U0450,S0003,ec-5,205.64,0.884,Next Product,ec-1
I00023,U1684,S0003,ms-1,201.57,0.65,Rewatch,N/A
I00024,U0136,S0003,ms-4,60.31,0.1355,Exit,N/A
I00025,U1162,S0003,ec-6,267.46,0.9644,Next Product,ec-4
I00026,U1873,S0003,ec-5,126.83,0.9726,Share,N/A
I00027,U0506,S0003,ec-6,22.93,0.1188,Exit,N/A
I00028,U0539,S0003,ec-6,60.0,0.983,Next Product,ec-4
I00029,U0450,S0003,ms-3,94.67,0.9377,Share,N/A
I00030,U0097,S0004,ms-2,285.39,0.8751,Next Product,ms-6
I00031,U1222,S0004,ms-2,125.04,0.9589,Share,N/A
I00032,U0959,S0004,ec-3,218.87,0.9162,Next Product,ec-2
I00033,U1394,S0004,ec-6,245.48,0.8717,Next Product,ec-4
I00034,U1575,S0004,ec-5,254.51,0.9143,Next Product,ec-1
I00035,U0007,S0004,ec-6,40.0,0.0987,Exit,N/A
I00036,U0540,S0004,ec-3,188.72,0.5924,Rewatch,N/A
I00037,U0218,S0004,ec-5,276.18,0.99,Next Product,ec-1
I00038,U0314,S0004,ms-6,284.92,0.6324,Rewatch,N/A
I00039,U1595,S0004,ec-3,58.79,0.5345,Exit,N/A
I00040,U1227,S0005,ms-6,96.84,0.9213,Share,N/A
I00041,U0744,S0005,ms-5,237.56,0.8501,Next Product,ms-3
I00042,U0162,S0005,ms-2,21.56,0.1875,Exit,N/A
I00043,U1672,S0005,ms-2,40.17,0.2708,Next Product,ms-6
I00044,U0258,S0005,ms-3,254.0,0.4189,Exit,N/A
I00045,U0339,S0005,ms-5,16.3,0.1247,Exit,N/A
I00046,U1243,S0005,ec-1,11.9,0.2972,Rewatch,N/A
I00047,U1903,S0005,ec-3,180.0,0.6415,Rewatch,N/A
I00048,U1461,S0005,ms-5,80.02,0.9346,Share,N/A
I00049,U0765,S0005,ec-2,59.04,0.1812,Exit,N/A
I00050,U0925,S0006,ms-2,249.54,0.9186,Next Product,ms-6
I00051,U1135,S0006,ms-4,33.18,0.0973,Exit,N/A
I00052,U0015,S0006,ms-2,189.67,0.5957,Rewatch,N/A
I00053,U0139,S0006,ms-1,24.36,0.1672,Exit,N/A
I00054,U0146,S0006,ec-3,247.6,0.9079,Next Product,ec-6
I00055,U0271,S0006,ec-6,93.01,0.5599,Rewatch,N/A
I00056,U1170,S0006,ec-4,150.0,0.9,Share,N/A
I00057,U1654,S0006,ec-1,17.37,0.1584,Exit,N/A
I00058,U0199,S0006,ec-5,11.78,0.1166,Exit,N/A
I00059,U0868,S0006,ec-1,95.88,0.99,Share,N/A
I00060,U1380,S0007,ec-5,24.55,0.1608,Rewatch,N/A
I00061,U0202,S0007,ms-1,115.37,0.9663,Share,N/A
I00062,U1765,S0007,ms-2,250.84,0.8601,Next Product,ms-6
I00063,U0865,S0007,ms-3,32.9,0.1716,Exit,N/A
I00064,U0512,S0007,ms-2,14.03,0.1159,Exit,N/A
I00065,U1765,S0007,ec-3,276.63,0.9503,Next Product,ec-6
I00066,U0031,S0007,ms-2,28.39,0.3595,Next Product,ec-1
I00067,U0341,S0007,ec-1,124.41,0.9131,Share,N/A
I00068,U0822,S0007,ms-1,256.82,0.9854,Next Product,ms-4
I00069,U1898,S0007,ec-2,10.0,0.1592,Exit,N/A
I00070,U1427,S0008,ec-6,27.6,0.1891,Rewatch,N/A
I00071,U1139,S0008,ec-5,180.0,0.418,Rewatch,N/A
I00072,U0608,S0008,ms-4,65.66,0.4445,Next Product,ms-1
I00073,U1111,S0008,ms-1,244.71,0.65,Rewatch,N/A
I00074,U1197,S0008,ec-2,106.79,0.9754,Next Product,ec-5
I00075,U1968,S0008,ec-3,26.75,0.0892,Exit,N/A
I00076,U0381,S0008,ms-2,131.48,0.9898,Share,N/A
I00077,U0482,S0008,ec-1,272.04,0.8723,Next Product,ec-2
I00078,U1218,S0008,ms-1,189.95,0.437,Rewatch,N/A
I00079,U1196,S0008,ec-4,123.1,0.9881,Next Product,ec-3
I00080,U1467,S0009,ms-6,29.24,0.197,Exit,N/A
I00081,U0811,S0009,ms-3,185.29,0.5646,Rewatch,N/A
I00082,U0648,S0009,ms-2,208.9,0.8814,Next Product,ms-6
I00083,U0205,S0009,ms-2,33.79,0.138,Exit,N/A
I00084,U1037,S0009,ms-5,37.09,0.1769,Exit,N/A
I00085,U0715,S0009,ms-2,40.0,0.1547,Exit,N/A
I00086,U0757,S0009,ms-5,10.94,0.1483,Exit,N/A
I00087,U1708,S0009,ec-3,181.48,0.6477,Rewatch,N/A
I00088,U1653,S0009,ec-5,25.42,0.1431,Exit,N/A
I00089,U1368,S0009,ec-3,23.76,0.187,Exit,N/A
I00090,U1359,S0010,ms-2,20.48,0.1889,Rewatch,N/A
I00091,U0276,S0010,ms-5,281.37,0.9029,Next Product,ms-3
I00092,U0558,S0010,ms-5,182.96,0.4987,Rewatch,N/A
I00093,U0417,S0010,ec-5,248.4,0.5592,Rewatch,N/A
I00094,U1001,S0010,ms-5,68.9,0.6644,Exit,N/A
I00095,U1733,S0010,ms-1,251.75,0.8629,Next Product,ms-4
I00096,U0008,S0010,ms-6,234.31,0.6061,Rewatch,N/A
I00097,U0537,S0010,ms-3,263.32,0.65,Rewatch,N/A
I00098,U0876,S0010,ec-3,208.67,0.8731,Next Product,ms-6
I00099,U1852,S0010,ms-3,13.17,0.1747,Exit,N/A
I00100,U1710,S0011,ms-6,95.04,0.9294,Share,N/A
I00101,U0262,S0011,ms-1,252.05,0.8995,Next Product,ms-4
I00102,U1763,S0011,ms-1,100.0,0.2986,Exit,N/A
I00103,U0431,S0011,ec-5,254.5,0.927,Next Product,ec-1
I00104,U1811,S0011,ec-1,60.63,0.118,Exit,N/A
I00105,U1535,S0011,ms-3,33.76,0.5165,Next Product,ms-2
I00106,U0333,S0011,ms-3,86.31,0.3773,Exit,N/A
I00107,U0051,S0011,ms-3,286.55,0.4761,Rewatch,N/A
I00108,U1907,S0011,ec-1,23.93,0.1257,Exit,N/A
I00109,U1770,S0011,ec-6,283.72,0.5066,Rewatch,N/A
I00110,U1613,S0012,ec-6,17.67,0.1211,Exit,N/A
I00111,U1787,S0012,ms-1,45.93,0.281,Rewatch,N/A
I00112,U0456,S0012,ms-4,180.0,0.5157,Rewatch,N/A
I00113,U0626,S0012,ms-4,255.52,0.9489,Next Product,ms-1
I00114,U0571,S0012,ms-2,100.0,0.434,Exit,N/A
I00115,U0572,S0012,ms-6,180.0,0.5729,Rewatch,N/A
I00116,U1728,S0012,ec-3,21.61,0.1092,Exit,N/A
I00117,U0057,S0012,ms-2,70.97,0.49,Exit,N/A
I00118,U0535,S0012,ms-3,150.0,0.935,Next Product,ms-2
I00119,U1222,S0012,ec-1,21.76,0.1762,Exit,N/A
I00120,U1611,S0013,ms-6,150.0,0.9525,Next Product,ms-5
I00121,U1843,S0013,ec-4,279.18,0.99,Next Product,ec-3
I00122,U1065,S0013,ec-3,233.76,0.6426,Exit,N/A
I00123,U1510,S0013,ec-5,31.08,0.2016,Exit,N/A
I00124,U0884,S0013,ms-2,18.97,0.4306,Next Product,ec-1
I00125,U1277,S0013,ms-6,198.2,0.4233,Rewatch,N/A
I00126,U1844,S0013,ms-5,103.31,0.9371,Share,N/A
I00127,U0669,S0013,ec-1,269.21,0.4209,Rewatch,N/A
I00128,U0393,S0013,ec-1,282.2,0.4519,Rewatch,N/A
I00129,U1533,S0013,ms-3,180.0,0.4675,Rewatch,N/A
I00130,U1123,S0014,ms-1,300.0,0.918,Next Product,ms-4
I00131,U1243,S0014,ec-5,265.88,0.9108,Next Product,ec-1
I00132,U1047,S0014,ec-2,216.4,0.4994,Exit,N/A
I00133,U1508,S0014,ms-3,222.03,0.5995,Rewatch,N/A
I00134,U1360,S0014,ec-5,40.0,0.0563,Exit,N/A
I00135,U0192,S0014,ms-4,40.0,0.1764,Exit,N/A
I00136,U0461,S0014,ms-4,238.97,0.8926,Next Product,ec-6
I00137,U1252,S0014,ms-2,25.12,0.1965,Exit,N/A
I00138,U1815,S0014,ec-5,19.77,0.1975,Exit,N/A
I00139,U1472,S0014,ec-6,92.82,0.9756,Share,N/A
I00140,U0303,S0015,ec-5,209.16,0.4887,Exit,N/A
I00141,U1763,S0015,ms-2,296.49,0.65,Rewatch,N/A
I00142,U1647,S0015,ec-6,60.0,0.9366,Share,N/A
I00143,U0511,S0015,ms-2,136.15,0.9141,Share,N/A
I00144,U1368,S0015,ec-3,32.71,0.1834,Rewatch,N/A
I00145,U1220,S0015,ms-6,29.03,0.3987,Rewatch,N/A
I00146,U1826,S0015,ec-2,259.0,0.5353,Rewatch,N/A
I00147,U1034,S0015,ec-1,186.98,0.5179,Rewatch,N/A
