UserID,Username,UserType,Region,DeviceType,AccountType,Industry
U0001,sara.ashworth,partial,Delhi,Desktop,Analyst,Retail Tech
U0002,raj_reddy,partial,Delhi,Mobile,Customer,Government/Military
U0003,chris_byrne,full,Toronto,Desktop,Investor,Optical Networking
U0004,liam.reilly,full,London,Mobile,Other,SAAS
U0005,wei_tang,full,New York,Mobile,Other,Wireless Industry
U0006,wei_zhu,partial,Tokyo,Desktop,Competitor,BFSI
U0007,david.newton,full,Amsterdam,Tablet,Partner,Storage Service Provider
U0008,bhat.priya,full,Delhi,Tablet,Integrator,Storage Equipment
U0009,chen.he,partial,Delhi,Mobile,Investor,Small/Medium Enterprise
U0010,aishafaro,partial,Delhi,Mobile,Press,Large Enterprise
U0011,guest_martin,minimal,Mumbai,Mobile,Analyst,Systems Integrator
U0012,sgould,full,Toronto,Tablet,Analyst,Storage Equipment
U0013,jmitchell,full,Delhi,Mobile,Prospect,NBFC
U0014,ryan.liam,full,Mumbai,Desktop,Distributor,NBFC
U0015,guestcamp,minimal,Delhi,Mobile,Investor,HR Tech
U0016,chen_he,full,London,Mobile,Vendor,Service Provider
U0017,samdunn,full,New York,Mobile,Other,Storage Service Provider
U0018,guestmart,minimal,Berlin,Tablet,Other,CPAAS
U0019,wei_liu,full,Mumbai,Mobile,Distributor,Storage Service Provider
U0020,allen.guest,minimal,Delhi,Mobile,Distributor,SAAS
U0021,joshi.raj,full,New York,Tablet,Investor,NBFC
U0022,emma.evans,partial,Chennai,Tablet,Other,Retail
U0023,maria_santos,partial,Hyderabad,Mobile,Partner,Non-management ISV
U0024,sreed,partial,Amsterdam,Mobile,Analyst,Government/Military
U0025,haynes.john,partial,London,Mobile,Supplier,HR Tech
U0026,turner.guest,minimal,Dubai,Desktop,Investor,HR Tech
U0027,hussain.aisha,partial,Amsterdam,Mobile,Integrator,Wireless Industry
U0028,abukhari,partial,London,Desktop,Integrator,Non-management ISV
U0029,aharley,full,Delhi,Desktop,Supplier,ASP (Application Service Provider)
U0030,patel.priya,partial,London,Mobile,Investor,Optical Networking
U0031,anderson.guest,minimal,Hyderabad,Mobile,Vendor,Storage Service Provider
U0032,desai.raj,partial,Singapore,Mobile,Reseller,ManagementISV
U0033,evans.guest,minimal,Mumbai,Desktop,Press,Optical Networking
U0034,chenzhan,partial,London,Mobile,Investor,Small/Medium Enterprise
U0035,sbarton,partial,Mumbai,Mobile,Integrator,Large Enterprise
U0036,sam.gould,full,Dubai,Mobile,Other,Automotive
U0037,guest.white,minimal,Delhi,Tablet,Investor,Optical Networking
U0038,rajredd,full,Singapore,Mobile,Other,Network Equipment Enterprise
U0039,jane.lawson,partial,New York,Mobile,Prospect,IT/ITES
U0040,rreddy,partial,Dubai,Tablet,Prospect,Data/Telecom OEM
U0041,wei_wang,full,Singapore,Desktop,Integrator,Systems Integrator
U0042,aisha_qureshi,partial,Tokyo,Mobile,Other,Government/Military
U0043,emma_cooper,full,Bengaluru,Desktop,Vendor,Government/Military
U0044,chen.huang,partial,Toronto,Mobile,Analyst,CPAAS
U0045,jane.warren,partial,Tokyo,Tablet,Integrator,Retail Tech
U0046,raj.verma,partial,Mumbai,Mobile,Customer,Systems Integrator
U0047,wwu,full,Mumbai,Desktop,Press,CPAAS
U0048,saxena.priya,full,Mumbai,Mobile,Distributor,NBFC
U0049,david.carr,partial,Delhi,Desktop,Customer,Systems Integrator
U0050,chenliu,full,London,Mobile,Other,Data/Telecom OEM
U0051,raj_pillai,partial,Toronto,Mobile,Analyst,Optical Networking
U0052,crawford.john,full,Mumbai,Desktop,Competitor,Storage Equipment
U0053,clin,partial,Dubai,Tablet,Supplier,Service Provider
U0054,emma.hart,full,Mumbai,Tablet,Partner,Small/Medium Enterprise
U0055,chris_boyd,partial,Chennai,Desktop,Distributor,Storage Equipment
U0056,maria.garcia,partial,New York,Mobile,Distributor,Service Provider
U0057,priya_reddy,full,Dubai,Mobile,Vendor,Wireless Industry
U0058,guest_hall,minimal,Singapore,Mobile,Other,NBFC
U0059,zhu.wei,full,Mumbai,Desktop,Press,Service Provider
U0060,aishafaro,partial,Delhi,Desktop,Customer,BFSI
U0061,priyabhat,full,Berlin,Desktop,Prospect,CPAAS
U0062,alex.watts,partial,Singapore,Desktop,Investor,Retail
